ementa,situacao,indexacao,ano,ultimo_despacho,numero,autor,regime_tramitacao,id_proposicao_principal,id,explicacao_ementa,apreciacao,ultimo_despacho_data,tipo,nome,nome_proposicao_origem,data_apresentacao,tema,link_inteiro_teor
"Altera a Lei nº 10.179, de 6 de fevereiro de 2001, dispõe sobre a utilização do superávit financeiro em 31 de dezembro de 2007, e dá outras providências.
NOVA EMENTA: Altera a Lei nº 10.179, de 6 de fevereiro de 2001, revoga dispositivos da Medida Provisória nº 2.179-36, de 24 de agosto de 2001; dispõe sobre a utilização do superávit financeiro em 31 de dezembro de 2007, e dá outras providências.",Tranformada no(a) Lei Ordinária 11803/2008,"Alteração, Lei da Emissão de Títulos da Dívida Pública, garantia, (Bacen), controle, título da dívida pública, política monetária, execução direta, ausência, contrapartida, exclusividade, autorização, Ministro da Fazenda, limitação, percentual, resultado, cálculo, reserva cambial, destinação, dívida pública mobiliária, âmbito federal, manutenção, conta, depósito, titularidade, sede, país estrangeiro, instituição financeira, bancos, ordem de pagamento, moeda nacional, exterior.
_Autorização, (Bacen), abertura de crédito, país estrangeiro, Argentina, forma, margem, contingenciamento, reciprocidade, normas, convênio, acordo bilateral, regulamentação, Ministério da Fazenda, (CMN).",2008,"Publique-se. Submeta-se ao Plenário.
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Urgência",435,Poder Executivo,Urgência,,402373,"Dispõe sobre a carteira de títulos mantida pelo Banco Central do Brasil para fins de condução da política monetária, sobre o resultado financeiro das operações com reservas e derivativos cambiais, sobre as sistemáticas de pagamento e de compensação de valores envolvendo a moeda brasileira em transações externas.",Proposição Sujeita à Apreciação do Plenário,2008-07-11 00:00:00,Medida Provisória,MPV 435/2008,MPV 435/2008,2008-06-27 00:00:00,"Economia, Administração Financeira e Orçamentária (utilizado até a legislatura 53)",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=581517
"Acrescenta § 3º ao art. 215 da Constituição Federal, instituindo o Plano Nacional de Cultura.",Tranformada no(a) Emenda Constitucional 48/2005,"ALTERAÇÃO, CONSTITUIÇÃO FEDERAL, EXIGENCIA, LEI FEDERAL, CRIAÇÃO, PLANO NACIONAL, CULTURA, DESENVOLVIMENTO, ATIVIDADE CULTURAL, PODER PUBLICO, DEFESA, VALORIZAÇÃO, PATRIMONIO CULTURAL, PRODUÇÃO, DIFUSÃO, BENS CULTURAIS, DIVERSIDADE, GRUPO ETNICO,
AMBITO
REGIONAL, FORMAÇÃO PROFISSIONAL.",2000,DESPACHO INICIAL A CCJR.,306,Gilmar Machado,Especial,,14692,ALTERANDO A Constituição Federal de 1988.,Proposição Sujeita à Apreciação do Plenário,2000-12-06 00:00:00,Proposta de Emenda à Constituição,PEC 306/2000,PEC 306/2000,2000-11-29 00:00:00,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=14847
"Abre crédito extraordinário, em favor do Ministério da Defesa e de Encargos Financeiros da União, no valor global de R$ 299.594.749,00, para os fins que especifica.",Tranformada no(a) Lei Ordinária 11130/2005,"Crédito extraordinário, Ministério, Defesa, transporte aéreo, doação, auxílio, vítima, maremoto, Ásia, missão militar, missão de paz, País Estrangeiro, Haiti, (MF), Encargos Financeiros, União Federal, contratação, instituição financeira, bancos, pagamento, benefício previdenciário, benefício de prestação continuada, salário mínimo, portador de necessidade especial, idoso, Guia de Recolhimento, Previdência Social, (FGTS), receita previdenciária, Ministério, Desenvolvimento Social, Combate, Fome, Fundo Nacional de Assistência Social.",2005,Publique-se. Submeta-se ao Plenário.,241,Poder Executivo,Urgência,,277133,Abrindo crédito extraordinário ao Ministério da Defesa destinado à operação de ajuda humanitária aos países da Ásia atingidos pelo maremoto (Tsunami) e à cobertura dos custos da participação brasileira na Missão de Paz no Haiti; e para os Encargos Financeiros da União visando renumerar agentes financeiros responsáveis pelo pagamento de benefícios assistenciais e previdenciários e pelo recolhimento da Guia de Previdência Social - GPS e da Guia de Recolhimento do Fundo de Garantia por Tempo de Serviço e Informação à Previdência Social - GFIP.,Proposição Sujeita à Apreciação do Plenário,2005-06-29 00:00:00,Medida Provisória,MPV 241/2005,MPV 241/2005,2005-03-04 00:00:00,"Economia, Administração Financeira e Orçamentária (utilizado até a legislatura 53)",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=281014
"Dá nova redação ao parágrafo 2º do artigo 17 da Constituição Federal.  
NOVA EMENTA DA REDAÇÃO DO VENCIDO: Dá nova redação à alínea ""C"" do inciso XVI do art. 37 da Constituição Federal.",Tranformada no(a) Emenda Constitucional 34/2001,"ALTERAÇÃO, CONSTITUIÇÃO FEDERAL,  AUTORIZAÇÃO, ACUMULAÇÃO DE CARGOS, SERVIÇO PUBLICO, SAUDE, MEDICO.",1996,"LEITURA E PUBLICAÇÃO DA MATÉRIA.
DCD 08 02 96 PAG 3937 COL 01.",308,Jandira Feghali,Especial,,14694,"ESTABELECENDO QUE E ASSEGURADO O EXERCICIO CUMULATIVO DE DOIS
CARGOS OU EMPREGOS PRIVATIVOS DE PROFISSIONAIS DE SAUDE NA
ADMINISTRAÇÃO PUBLICA DIRETA OU INDIRETA ALTERANDO A CONSTITUIÇÃO FEDERAL DE 1988.",Proposição Sujeita à Apreciação do Plenário,1996-02-06 00:00:00,Proposta de Emenda à Constituição,PEC 308/1996,PEC 308/1996,1996-01-24 00:00:00,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=14381
Aprova o Plano Nacional de Educação para o decênio 2011-2020 e dá outras providências.,Tranformada no(a) Lei Ordinária 13005/2014,"Aprovação, Plano Nacional de Educação, diretizes, meta, melhoria, avaliação, qualidade, ensino, utilização, Indice de Desenvolvimento da Educação Básica.",2010,"(SUBSTITUTIVO DO SENADO)À Comissão de  Especial destinada a proferir parecer ao Projeto de Lei nº 8035, de 2010, do Poder Executivo, que ""aprova o Plano Nacional de Educação para o decênio 2011-2020 e dá outras providências"". Por oportuno, em razão de sua competência, determino que a CCTCI também componha a referida Comissão Especial que apreciará a matéria.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade",8035,Poder Executivo,Prioridade,,490116,,Proposição Sujeita à Apreciação do Plenário,2014-01-13 00:00:00,Projeto de Lei,PL 8035/2010,PL 8035/2010,2010-12-20 00:00:00,Educação,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=831421
Requer a realização de Audiência Pública destinada para debater o tema: Políticas Públicas de Combate ao Trabalho infantil.,CPITRAB - Aguardando Providências Internas,,2013,,8,Sandra Rosado,Ordinária,,597682,,Requerimento,,Requerimento,REQ 8/2013 CPITRAB,REQ 8/2013 CPITRAB,2013-10-17 00:00:00,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1164155
"Altera a Lei nº 8.212, de 24 de julho de 1991, e a Lei nº 8.870, de 15 de abril de 1994.",Tranformada no(a) Lei Ordinária 10256/2001,"Alteração, Lei Orgânica da Seguridade Social, definição, agroindustria, fixação, contribuição previdenciária, comercialização, produção, benefício fiscal, autorização, dedução, percentual,  contribuição, segurado, empregado, empresa  agroindustrial, destinação, (SENAR),  exclusão, prestação de serviço, terceiros, atividade agro industrial, piscicultura, crustráceos, suinocultura, avicultura, sociedade, cooperativa rural, substituição, equiparação, empregador rural, pessoa física, consórcio, produtor rural, contratação, trabalhador rural, registro, cartório de títulos e documentos,
identificação, proprietário, (INCRA), matrícula, (INSS), responsabilidade solidária, obrigação, natureza previdenciária, sub rogação, segurado especial, prazo, recolhimento, venda, consignação, produto, venda a varejo.
_Competência, (INSS), Secretaria da Receita Federal, arrecadação, fiscalização, normas, recolhimento, contribuição social, contribuição previdenciária, empresa, empregado, trabalhador.
_Alteração, legislação previdenciária, definição, contribuição previdenciária, Seguridade Social, empregador rural, produtor rural, pessoa jurídica, substituição, contribuição social, cota patronal, incidência, folha de pagamento, base de cálculo, receita bruta, comercialização, produção, alíquota, (SENAR), benefício fiscal, desconto, recolhimento, cooperativa rural, contratação, safreiro, terceirização, colheita, prazo, vigência, revogação, dispositivos.",2001,"Leitura da Ata de Apuração dos Vetos Presidenciais constantes da cédula única de votação utilizada na sessão conjunta realizada no dia 20/05/2004. DSF de 28/05/2004, pág. 16396, col. 1.",3998,Poder Executivo,Urgência art. 64 CF,,20588,"Equipara a agroindustria à empresa rural, determinando que ela passe a contribuir com 2,5% do faturamento para a Seguridade Social, e 0,1% para o financiamento do benefício previdenciário de aposentadoria especial, em substituição a contribuição
devida sobre a folha de pagamento; reconhece o consórcio simplificado de produtor rural e institui o benefício fiscal que prevê que 50% do valor das contribuições relativas ao segurado empregado possa ser deduzido do valor da contribuição  referente a agroindustria.",Proposição Sujeita à Apreciação do Plenário,2004-05-26 00:00:00,Projeto de Lei,PL 3998/2001,PL 3998/2001,2001-01-12 00:00:00,Política Fundiária; Previdência e Assistência Social,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=20159
"Dá nova redação ao caput do art. 5º da Lei nº 10.195, de 14 de fevereiro de 2001, que institui medidas adicionais de estímulo e apoio à reestruturação e ao ajuste fiscal dos Estados.",Tranformada no(a) Lei Ordinária 11533/2007,"Alteração, reestruturação, ajuste fiscal, base de cálculo, Receita Líquida Real, exclusão, receita tributária, desconto, percentual, recursos financeiros, parcela, (ICMS), (DF), Estados, Municípios, (FPE), (FPM), (IPI), limite de endividamento, dívida pública mobiliária, dívida interna.",2007,"Publique-se. Submeta-se ao Plenário.
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Urgência",378,Poder Executivo,Urgência,,356695,,Proposição Sujeita à Apreciação do Plenário,2007-10-01 00:00:00,Medida Provisória,MPV 378/2007,MPV 378/2007,2007-06-21 00:00:00,"Economia, Administração Financeira e Orçamentária (utilizado até a legislatura 53); Tributação",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=485925
Altera a redação do art. 6º da Constituição Federal.,Tranformada no(a) Emenda Constitucional 26/2000,"ALTERAÇÃO, CONSTITUIÇÃO FEDERAL, INCLUSÃO, HABITAÇÃO, DIREITOS SOCIAIS.",1998,,601,MAURO MIRANDA,Especial,,25007,"INCLUINDO A MORADIA NOS DIREITOS SOCIAIS, ALTERANDO A CONSTITUIÇÃO FEDERAL DE 1988.",Proposição Sujeita à Apreciação do Plenário,,Proposta de Emenda à Constituição,PEC 601/1998,PEC 601/1998,1998-05-29 00:00:00,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=25388
"Altera dispositivos da Lei nº 9.620, de 02 de abril de 1998, e dá outras providências.",Tranformada no(a) Lei Ordinária 9775/1998,"Alteração, Código de Processo Civil, alteração, percentagem, honorários, advogado, incidência, valor, condenação, objetivo, redução, encargo, sucumbência, propositura, ação judicial, acréscimo, ônus, partes processuais, perda, continuação, processo judicial, posterioridade, recebimento.",1998,LEITURA E PUBLICAÇÃO DA MATERIA. DCD 23 01 99 PAG 3559 COL 02.,4769,Poder Executivo,Ordinária,,224196,,Proposição Sujeita à Apreciação do Plenário,1998-01-23 00:00:00,Projeto de Lei,PL 4769/1998,PL 4769/1998,1998-10-06 00:00:00,Direito Civil e Processual Civil,
"Requeremos, nos termos do artigo 155, do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei nº 4.471-B, de 2012, que altera os arts. 161, 162, 164, 165, 169 e 292 do Decreto-Lei nº 3.689, de 3 de outubro de 1941- Código de Processo Penal.",PLEN - Pronta para Pauta,,2013,,8130,Paulo Teixeira,Ordinária,556267,583317,,Requerimento,,Requerimento de Urgência (Art. 155 do RICD),REQ 8130/2013 => PL 4471/2012,REQ 8130/2013 => PL 4471/2012,2013-07-03 00:00:00,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1105655
"Altera a Lei nº 10.260, de 12 de julho de 2001, que dispõe sobre o Fundo de Financiamento ao Estudante do Ensino Superior (FIES), com o fim de criar forma especial de amortização mediante serviço social.",Tranformada no(a) Lei Ordinária 11552/2007,"Alteração, Lei  do Financiamento Estudantil, destinação, percentual, (FIES), educação superior, curso superior, amortização, dívida, beneficiário, prestação de serviço, serviço social,  estudante carente, área, formação profissional, gestão, instituição pública, universidade.",2006,"Às Comissões de 
Educação e Cultura; 
Finanças e Tributação (Mérito e Art. 54, RICD) e 
Constituição e Justiça e de Cidadania (Art. 54 RICD)
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Prioridade",7701,Senado Federal - Eduardo Siqueira Campos,Urgência art. 64 CF,,339302,,Proposição Sujeita à Apreciação do Plenário,2006-12-29 00:00:00,Projeto de Lei,PL 7701/2006,PL 7701/2006,2006-12-21 00:00:00,Educação,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=432032
"Altera a Lei nº 11.079, de 30 de dezembro de 2004, que institui normas gerais para licitação e contratação de parceria público-privada no âmbito da administração pública.

NOVA EMENTA: Altera as Leis nºs 11.079, de 30 de dezembro de 2004, que institui normas gerais para licitação e contratação de parceria público-privada no âmbito da administração pública, para dispor sobre o aporte de recursos em favor do parceiro privado, 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, 12.058, de 13 de outubro de 2009, 9.430, de 27 de dezembro de 1996, 10.420, de 10 de abril de 2002, 10.925, de 23 de julho de 2004, 10.602, de 12 de dezembro de 2002, e 9.718, de 27 de novembro de 1998, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001, e dá outras providências.",Tranformada no(a) Lei Ordinária 12766/2012,"Alteração, contrato, parceria público-privada, contraprestação, recursos financeiros, exclusão, apuração, lucro líquido,  base de cálculo, CSSL, PIS/Pasep, Cofins,  proporcionalidade, conclusão, contratação, Fundo Garantidor de Parcerias Público-Privadas (FGP), aumento, percentual, comprometimento, receita líquida, contrato de parceria, estados, Distrito Federal, municípios.",2012,Publique-se. Submeta-se ao Plenário.,575,Poder Executivo,Urgência,,552689,"Permite que a contraprestação paga pelo setor público às empresas seja desconsiderado para efeito de recolhimento de Contribuição Social sobre o Lucro Líquido (CSLL) e PIS-Pasep e Cofins e autoriza os Estados, Distrito Federal e Municípios a comprometerem até 5% (cinco por cento) de suas receitas líquidas com o pagamento de contraprestações em PPPs.",Proposição Sujeita à Apreciação do Plenário,2012-11-14 00:00:00,Medida Provisória,MPV 575/2012,MPV 575/2012,2012-08-08 00:00:00,Administração Pública,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1017608
"Requer a realização de Audiência Pública dessa Comissão, em João Pessoa, no Estado da Paraíba.",CPICRIAN - Arquivada,,2012,,12,Luiz Couto,Ordinária,,541303,,Requerimento,,Requerimento,REQ 12/2012 CPICRIAN,REQ 12/2012 CPICRIAN,2012-04-10 00:00:00,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=980718
Dispõe sobre o salário mínimo a partir de 1º de abril de 2007.,Tranformada no(a) Lei Ordinária 11498/2007,"Reajuste, aumento, salário mínimo, percentual,  (INPC), revogação.",2007,"Publique-se. Submeta-se ao Plenário.
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Urgência",362,Poder Executivo,Urgência,,346782,"Fixa em R$ 380,00 (trezentos e oitenta reais) o salário mínimo a partir de 1º de abril de 2007.
Revoga a Lei nº 11.321, de 2006.",Proposição Sujeita à Apreciação do Plenário,2007-04-13 00:00:00,Medida Provisória,MPV 362/2007,MPV 362/2007,2007-03-30 00:00:00,Trabalho e Emprego,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=554850
"Altera os arts. 21, 22 e 48 da Constituição Federal, para transferir da União para o Distrito Federal as atribuições de organizar e manter a Defensoria Pública do Distrito Federal.",Tranformada no(a) Emenda Constitucional 69/2012,"Alteração, Constituição Federal, retirada, competência, União Federal, organização, manutenção, Defensoria Pública do Distrito Federal, aplicação, normas, princípios, defensoria pública, Estados, prazo determinado, Congresso Nacional, Câmara Legislativa, instalação, comissão especial, elaboração, Projeto de Lei, adequação, legislação infraconstitucional.",2009,"À Comissão de 
Constituição e Justiça e de Cidadania (Art. 202, RICD)
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Especial",445,Senado Federal - Gim Argello,Especial,,463268,Altera a Constituição Federal de 1988.,Proposição Sujeita à Apreciação do Plenário,2009-12-09 00:00:00,Proposta de Emenda à Constituição,PEC 445/2009,PEC 445/2009,2009-12-08 00:00:00,Organização Político-Administrativa do Estado (utilizado até a legislatura 53),http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=723454
Cria o Grupo Parlamentar Brasil - Malásia.,Tranformada no(a) Resolução da Câmara dos Deputados 42/2013,"Criação, Grupo Parlamentar, Brasil, Malásia, cooperação interparlamentar.",2013,"Designação do Relator.Ao Senhor Deputado André Vargas,Primeiro-Vice-Presidente",203,Claudio Cajado,Ordinária,,582791,,Proposição Sujeita à Apreciação do Plenário,2013-07-15 00:00:00,Projeto de Resolução,PRC 203/2013,PRC 203/2013,2013-07-02 00:00:00,Relações Internacionais,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1104961
"Acresce e altera dispositivos da Lei nº 10.683, de 28 de maio de 2003, para criar a Secretaria Especial de Portos, e dá outras providências.
NOVA EMENTA DA REDAÇÃO FINAL: Acresce e altera dispositivos das Leis nºs 10.683, de 28 de maio de 2003, 10.233, de 5 de junho de 2001, 10.893, de 13 de julho de 2004, 5.917, de 10 de setembro de 1973, 11.457, de 16 de março de 2007, e 8.630, de 25 de fevereiro de 1993, para criar a Secretaria Especial de Portos, e dá outras providências.",Tranformada no(a) Lei Ordinária 11518/2007,"Alteração, Lei da Nova Organização da Presidência da República e Ministérios, criação, Secretaria Especial de Portos, Secretário, equivalência, Ministro de Estado,  assessoramento, Presidente da República,  formulação, política, diretriz,  desenvolvimento, fomento, setor, porto marítimo, infra-estrutura, serviço portuário, transporte aquaviário, Companhia Docas, transferência, Ministério dos Transportes, (DNIT), prerrogativa, Marinha, estrutura organizacional, cargo em comissão, função, competência, Executivo. 
_ Competência, Advogado-Geral da União,  Ministro, Ministério da Fazenda,  distribuição, cargo,  Procurador da Fazenda Nacional, categoria, carreira. 
_Criação, cargo em cominssão, (DAS),  Secretaria de Comunicação Social da Presidência da República.
_ Alteração, Lei do PNV, Relação Descritiva dos Portos Marítimos, Fluviais e Lacustres, inclusão, porto fluvial, Estado, (AM), (MT), (PA), (RO).",2007,"Publique-se. Submeta-se ao Plenário.
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Urgência",369,Poder Executivo,Urgência,,350464,Cria a Secretaria Especial de Portos;  dá competência ao Advogado-Geral da União e ao Ministro de Estado da Fazenda para distribuir os cargos de Procurador da Fazenda Nacional pelas três categorias da Carreira; cria cargos de DAS na Secretaria de Comunicação Social.,Proposição Sujeita à Apreciação do Plenário,2007-05-21 00:00:00,Medida Provisória,MPV 369/2007,MPV 369/2007,2007-05-08 00:00:00,Organização Político-Administrativa do Estado (utilizado até a legislatura 53); Viação e Transportes,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=504661
"Dispõe sobre as concessões de geração, transmissão e distribuição de energia elétrica, sobre a redução dos encargos setoriais, sobre a modicidade tarifária, e dá outras providências.",Tranformada no(a) Lei Ordinária 12783/2013,"Alteração, Lei do Setor Elétrico, Lei da ANEEL, prorrogação, concessão, geração, transmissão, distribuição, energia elétrica, eficiência, prestação de serviço, tarifas, licitação, aquisição, créditos, Eletrobrás, Itaipu Binacional.",2012,Publique-se. Submeta-se ao Plenário.,579,Poder Executivo,Urgência,,555727,Altera as leis nºs 10.438 de 2002; 12.111 de 2009;  9.648 de 1998; 9.427 de 1996 e 8.631 de 1993.,Proposição Sujeita à Apreciação do Plenário,2012-12-11 00:00:00,Medida Provisória,MPV 579/2012,MPV 579/2012,2012-09-12 00:00:00,"Recursos Hídricos, Minerais e Política Energética",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1025078
"Dá nova redação aos §§ 1º e 3º do art. 184 e ao art. 186 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, e acrescenta parágrafos ao art. 525 do Decreto-Lei nº 3.689, de 3 de outubro de 1941 - Código de Processo Penal.",Tranformada no(a) Lei Ordinária 10695/2003,"ALTERAÇÃO,  CODIGO PENAL, CODIGO DE PROCESSO PENAL,
NORMAS, PENALIDADE, VIOLAÇÃO, DIREITO AUTORAL, REPRODUÇÃO, OBRA
INTELECTUAL, OBJETIVO, LUCRO, INEXISTENCIA, AUTORIZAÇÃO, AUTOR,
REPRESENTANTE, PRODUTOR, PENA DE RECLUSÃO,  INFRAÇÃO,
TROCA, EMPRESTIMO, ALUGUEL, LOCAÇÃO, TRABALHO INTELECTUAL,
FONOGRAMA,VIDEOFONOGRAMA, DISCO SONORO, FITA MAGNETICA, PENA DE
DETENÇÃO, MULTA, CRITERIOS, PROCESSO, JULGAMENTO, CRIME CONTRA A
PROPRIEDADE IMATERIAL, CABIMENTO, AÇÃO PENAL PUBLICA, APLICAÇÃO,
DISPOSITIVOS, INQUERITO POLICIAL, AUTORIDADE POLICIAL, APREENSÃO,
PRODUÇÃO, EQUIPAMENTOS, LAVRATURA, TERMO, DESCRIÇÃO, BENS,
MERCADORIA APREENDIDA, INFORMAÇÃO, ORIGEM, TESTEMUNHA, REALIZAÇÃO,
PERICIA, PERITO OFICIAL, CUSTODIA, ENCAMINHAMENTO, INQUERITO,
JUDICIARIO, COLOCAÇÃO, MATERIAL, DISPOSIÇÃO, JUIZ, AUSENCIA,
IMPREGNAÇÃO, ILICITUDE, DETERMINAÇÃO, DESTRUIÇÃO, MERCADORIA,
PENA DE PERDIMENTO, OCORRENCIA, CONDENAÇÃO, BENEFICIARIO,
FAZENDA NACIONAL, POSSIBILIDADE, DOAÇÃO, INSTITUIÇÃO EDUCACIONAL,
INSTITUIÇÃO ASSISTENCIAL, ENTIDADE DE FINS FILANTRÓPICOS, AUTORIZAÇÃO, ASSOCIAÇÕES, TITULAR,
FUNCIONAMENTO, ASSISTENTE, ACUSAÇÃO, PROCESSO CRIMINAL, PREJUIZO,
DANOS, ASSOCIADO, REDUÇÃO, PIRATARIA.",1996,DESPACHO INICIAL A CCJR.,2681,Poder Executivo,Urgência art. 155 RICD,,18480,"ESTABELECENDO PROCEDIMENTO PARA QUE OS BENS INTELECTUAIS OBJETO DE PIRATARIA SEJAM APREENDIDOS, E EM CASO DE CONDENAÇÃO, O JUIZ
DETERMINARA A DESTRUIÇÃO E A DOAÇÃO ÀS INSTITUIÇÕES OFICIAIS DE ENSINO OU DE ASSISTENCIA SOCIAL.",Proposição Sujeita à Apreciação do Plenário,1997-01-29 00:00:00,Projeto de Lei,PL 2681/1996,PL 2681/1996,1996-12-19 00:00:00,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=16391
Dispõe sobre o processo e julgamento da Ação Direta de Inconstitucionalidade e da Ação Declaratória de Constitucionalidade perante o Supremo Tribunal Federal.,Tranformada no(a) Lei Ordinária 9868/1999,"Normas, processo, julgamento, (STF), admissibilidade, ação direta, inconstitucionalidade, responsabilidade, proposta, Presidente da República, mesa diretora, Senado, Câmara dos Deputados, assembléia legislativa, (CLDF), governador estadual, Procurador Geral da República, conselho federal, (OAB), partido político, representação, Congresso Nacional, confederação sindical, entidades sindicais, associação de classe, âmbito nacional, petição, indicação, dispositivos, leis, ato normativo, documento, comprovação, impugnação, inexistência, fundamentação, denúncia inepta, indeferimento liminar, cabimento, agravo, proibição, desistência, direitos, relator, solicitação, informação, orgão público, autoridade, origem, legislação, ato impugnado, prazo, recebimento, resposta, pedido, restrição, intervenção, terceiros, possibilidade, titular, manifestação, alegações escritas, juntada, documentação, exame, matéria, apresentação, memorial, cumprimento, prazo determinado, opinião, Advogado Geral da União, lançamento, relatório, cópia, ministro, fixação, data, pauta de julgamento, hipótese, necessidade, esclarecimentos, requisição, acréscimo, informação, designação, perito, emissão, parecer, audiência pública, depoimento, pessoas, experiência, tribunais superiores, (TRF), tribunais inferiores, aplicação, normas, jurisdição, quorum, maioria absoluta, membros, tribunais, decisão judicial, medidas acautelatórias, facultatividade, sustentação, oral, representante judicial, requerente, orgãos, responsável, ocorrência, concessão, publicação, (DOU), Diário da Justiça. competência, proposta, admissibilidade, ação declaratória, constitucionalidade, responsabilidade, Presidente da República, Mesa Diretora, Câmara dos Deputados, Senado, Procurador Geral da República, petição, indicação, dispositivos, leis, ato normativo, fundamentação jurídica, pedido, existência, controvérsia, cumprimento, prazo, relator, lançamento, relatório, cópia, ministro, dia, julgamento, membros, (STF), deferimento, ação judicial, pena, perda, eficácia, exigência, quorum, realização, sessão, plenário, irrecorribilidade, ação rescisória, possibilidade, tribunais, restrição, efeito, legislação, decisão, posterioridade, trânsito em julgado, acordão, declaração, inconstitucionalidade, interpretação, aplicação, Constituição Federal, declaração, inconstitucionalidade parcial, falta, redução, texto, efeito vinculante, orgãos, judiciário, administração pública, administração federal, administração estadual, administração municipal. alteração, Código de Processo Civil. autorização, Ministério Público, pessoa jurídica, direito público, responsável, ato, questionamento, requerimento, manifestação, incidente processual, inconstitucionalidade, cumprimento, prazo, critérios, regimento interno, tribunais, titular, direitos, proposta, alegações escritas, questão constitucional, objeto, apreciação, tribunal pleno, apresentação, memorial, juntada, documento. alteração, lei federal, organização judiciária, (DF), territórios federais, inclusão, competencia, (TJDF), processo, julgamento, ação direta, inconstitucionalidade, leis, ato normativo, lei orgânica, legitimidade, proposta, governador, mesa diretora, (CLDF), procurador geral de justiça, (OAB), entidades sindicais, associação de classe, partido político, representação, exigência, opinião, procurador, constitucionalidade, suspensão, vigência, decisão, medidas acauletórias.",1997,,2960,Poder Executivo,Ordinária,,208355,,Proposição Sujeita à Apreciação do Plenário,,Projeto de Lei,PL 2960/1997,PL 2960/1997,1997-04-08 00:00:00,Organização Político-Administrativa do Estado (utilizado até a legislatura 53),
